ParticipantID,DoB_month,DoB_year,5yr_US,SexAssigned,Gender,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or other Pacific Islander,White,Occupation,zipBorn,zip10,zipNow,IncBracket_growingUp,familySize_growingUp,parentsMarital,parentsEdu,partEdu,partIncome,partMarital,partNumChildren,parentsMarital_other,parentsEdu_other,partEdu_other
11890898,4,23,Yes,Female,Female,0,0,0,0,0,1,,37601,24641,24266,"$25,001-$40,499",2,Never married,Master's degree,Highschool degree,"$22,500-$42,999",Single,1,,,
11890900,3,47,Yes,Female,Female,0,0,1,0,0,0,mentsl healthcare worker,7018,7018,27403,Don't know,8,__other,Some highschool,Associate's degree (2 years of college),"$22,500-$42,999",Married,2,deceased,,
11890902,4,30,Yes,Female,Female,0,0,0,0,0,1,Concierge,33596,33596,33596,"$45,500-$55,999",4,Divorced and remarried (one),Highschool degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
11890905,3,20,Yes,Female,Female,0,1,1,0,0,0,Student,30106,30106,30157,"$56,000-$78,000",4,__other,Bachelor's degree (4 years of college),Associate's degree (2 years of college),"More than $80,000",Single,0,Widowed and Remarried,,
11890907,1,51,Yes,Female,Female,0,0,1,0,0,0,Chef I,31719,31719,33612,"Less than $25,000",7,Never married,Some highschool,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
11890909,5,49,Yes,Female,Female,0,0,1,0,0,0,Data Associate,85746,85710,77493,"$45,500-$55,999",9,__other,Associate's degree (2 years of college),Associate's degree (2 years of college),"More than $80,000",Married,3,deceased,,
11890910,11,29,Yes,Female,Female,0,0,0,0,0,1,IT,23601,23601,23601,"$45,500-$55,999",4,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
11890914,3,46,Yes,Male,Male,1,0,0,0,0,1,chef,50318,50310,70118,"Less than $25,000",6,Divorced,Bachelor's degree (4 years of college),Associate's degree (2 years of college),"$22,500-$42,999",Married,1,,,
11890919,2,22,Yes,Female,Female,0,0,0,0,0,1,doctor,19004,19004,19004,"$45,500-$55,999",9,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,2,,,
11890920,7,19,Yes,Female,Female,0,0,0,0,0,1,Student,15237,15237,16066,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Some college,"Less than $12,500",Single,0,,,
11890922,7,34,Yes,Male,Male,0,0,0,0,0,1,real estate intermediary,61071,61071,61071,"More than $78,000",3,__other,Doctoral degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,They're dead,,
11890923,9,32,Yes,Male,Male,0,0,1,0,0,0,Sales Rep,70131,70131,70131,"$25,001-$40,499",6,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
11890925,6,36,Yes,Male,Male,0,0,1,0,0,0,IT Manager,10013,10013,10013,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
11890929,6,36,Yes,Male,Male,0,0,1,0,0,0,IT Manager,10013,10013,10013,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
11890930,6,36,Yes,Female,Female,0,0,1,0,0,0,IT Manager,10013,10013,10013,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
11890933,6,36,Yes,Female,Female,0,0,1,0,0,0,IT Manager,10013,10013,10013,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
11890936,5,25,Yes,Male,Male,0,0,1,0,0,0,senior manager,10003,10003,10003,"$45,500-$55,999",7,Married,Master's degree,Master's degree,"$42,500-$80,000",Married,1,,,
11890940,2,26,Yes,Male,Male,0,0,1,0,0,0,Owner,60417,60411,60417,"More than $78,000",8,Never married,__other,Associate's degree (2 years of college),"More than $80,000",Single,0,,I don't know,
11890942,10,29,Yes,Male,Male,0,0,1,0,0,0,Warehouse manager,44024,44024,44483,"More than $78,000",4,Married,Highschool degree,Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
11890943,4,28,Yes,Female,Female,0,0,1,0,0,0,nurse,53719,17349,53719,"More than $78,000",5,Married,Master's degree,Master's degree,"More than $80,000",Married,0,,,
11890944,7,24,Yes,Female,Female,0,0,0,0,0,1,waitress,28645,28645,28606,"Less than $25,000",4,Married,Bachelor's degree (4 years of college),Some college,"$12,501-$22,499",Single,0,,,
11890945,6,37,Yes,Male,Male,0,0,0,0,0,1,Data Aquisition,60060,60060,47150,"$25,001-$40,499",6,Never married,Doctoral degree,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
11890946,9,30,Yes,Male,Male,0,0,0,0,0,1,Web Developer,95823,90250,6602,"$45,500-$55,999",5,Divorced and remarried (one),Bachelor's degree (4 years of college),Master's degree,"$42,500-$80,000",Single,0,,,
11890956,5,43,Yes,Female,Female,0,0,1,0,0,0,CNA,49508,49507,49512,Don't know,8,Never married,Some college,Some college,"$42,500-$80,000",Single,2,,,
11890959,3,40,Yes,Female,Female,0,0,0,0,0,1,internet safety evaluator,10705,10705,49120,"$25,001-$40,499",3,Married,Highschool degree,Highschool degree,"$22,500-$42,999",Married,0,,,
11890960,0,45,Yes,Female,Female,0,0,0,0,0,1,Land Use Planner,53092,53092,96150,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,2,,,
11890961,4,66,Yes,Female,Female,0,0,0,1,0,0,accountant,30296,30296,30296,"$25,001-$40,499",1,Never married,Some college,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,1,,,
11890965,5,18,Yes,Female,Female,0,0,0,0,0,1,student,46032,46032,46032,"$45,500-$55,999",5,Divorced,Bachelor's degree (4 years of college),Some college,"Less than $12,500",Single,0,,,
11890966,9,26,Yes,Male,Male,0,0,1,0,0,0,Manager,30301,30301,30301,Don't know,4,Married,Highschool degree,Bachelor's degree (4 years of college),"More than $80,000",Married,1,,,
11890967,0,27,Yes,Male,Male,0,0,1,0,0,0,Assistant,33101,33101,33101,Don't know,5,Married,Some college,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
11890969,11,30,Yes,Female,Female,0,0,1,0,0,0,sales,37207,37115,37040,"$25,001-$40,499",6,Never married,Associate's degree (2 years of college),Associate's degree (2 years of college),"$22,500-$42,999",Single,3,,,
11890971,8,26,Yes,Male,Male,0,0,0,0,0,1,legal,33146,33146,33146,"More than $78,000",6,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,2,,,
11890978,8,26,Yes,Male,Male,0,0,1,0,0,0,education and training,75134,75134,75134,"More than $78,000",5,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,2,,,
