ParticipantID,comf_community,comf_firefighter,comf_gun,comf_healthcare,comf_immigration,comf_media,comf_police,comf_religion,comf_science,comf_voting
11892182,4,6,1,4,3,4,3,4,6,6
11892183,7,7,7,7,7,7,7,7,7,7
11892194,5,6,5,6,6,2,6,7,7,7
11892195,5,6,3,5,5,3,4,2,6,3
11892201,3,5,4,5,5,5,4,6,5,6
11892205,7,7,4,5,6,6,4,7,6,7
11892208,7,7,7,7,7,7,7,7,7,7
11892213,2,4,1,2,3,1,1,2,5,4
11892214,5,7,6,7,2,1,1,1,7,7
11892222,6,6,1,5,3,1,3,6,5,2
11892224,4,6,5,7,5,3,4,6,6,6
11892250,5,6,3,7,5,7,6,7,7,6
11907089,4,7,7,7,6,5,6,6,7,7
11907092,5,6,5,3,5,4,6,5,5,3
11907093,6,7,1,6,6,3,6,2,6,6
11907094,7,7,7,7,7,7,6,7,6,7
11907097,4,4,4,4,4,4,4,4,4,4
11907098,5,5,4,5,5,6,5,5,5,5
11907099,7,7,7,7,7,7,7,7,7,7
11907109,4,4,4,4,4,4,4,4,4,4
11907111,5,6,2,7,3,3,3,3,7,7
11907112,4,6,7,5,6,6,7,2,5,7
11907116,3,6,3,5,5,5,3,6,4,5
11907118,5,7,5,6,5,6,7,6,7,6
11907133,6,6,6,6,6,6,6,6,6,6
11907136,6,6,6,6,6,6,6,6,6,6
11907139,7,7,1,7,2,1,1,1,7,7
11907152,3,5,2,6,5,2,1,3,5,5
11907171,7,7,7,4,7,7,7,7,7,7
11907173,4,5,5,5,4,5,5,4,5,6
11907178,6,6,6,6,6,3,3,4,6,6
11907362,6,2,5,5,3,5,6,6,3,5
11907431,5,4,3,6,6,6,4,6,6,6
