,ParticipantID,DoB_month,DoB_year,5yr_US,SexAssigned,Gender,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or other Pacific Islander,White,Occupation,zipBorn,zip10,zipNow,IncBracket_growingUp,familySize_growingUp,parentsMarital,parentsEdu,partEdu,partIncome,partMarital,partNumChildren,parentsMarital_other,parentsEdu_other,partEdu_other
93,11890156,9,39,Yes,Female,Female,0,0,0,0,0,1,Software Developer,74070,74070,74070,"$25,001-$40,499",3,Married,Some highschool,Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
94,11890157,1,38,Yes,Female,Female,0,0,0,0,0,1,licensed practical nurse,1890,76542,78664,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Associate's degree (2 years of college),"$42,500-$80,000",Married,0,,,
95,11890158,2,33,Yes,Female,Female,0,0,0,0,0,1,stay at home mom,35216,36330,35216,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Master's degree,"More than $80,000",Married,2,,,
96,11890159,6,40,Yes,Female,Female,0,0,0,0,0,1,executive assistant,49201,49201,48910,Don't know,5,Divorced and remarried (one),Highschool degree,Some college,"$42,500-$80,000",Married,0,,,
97,11890160,4,35,Yes,Male,Male,0,0,0,0,0,1,Sales,14226,14226,14209,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Some college,"$42,500-$80,000",Married,0,,,
99,11890163,11,30,Yes,Male,Male,0,0,0,0,0,1,Teacher,41101,41101,42104,Don't know,2,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
100,11890166,6,57,Yes,Female,Female,0,0,0,0,0,1,homemaker,12308,12308,1247,"$25,001-$40,499",6,Married,Associate's degree (2 years of college),Master's degree,"Less than $12,500",Married,1,,,
101,11890167,3,55,Yes,Female,Female,0,0,0,0,0,1,self emplyed,60076,60076,89044,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
102,11890168,4,65,Yes,Male,Male,0,0,0,0,0,1,retired mechanic,48201,48185,48186,"$45,500-$55,999",5,Widowed,Some highschool,Associate's degree (2 years of college),"$22,500-$42,999",Married,2,,,
104,11890171,9,45,Yes,Female,Female,0,0,0,0,0,1,administrative assistant,48381,48381,48381,"$45,500-$55,999",4,Divorced and remarried (one),Master's degree,Bachelor's degree (4 years of college),"More than $80,000",Married,5,,,
105,11890172,9,34,Yes,Female,Female,0,0,0,0,0,1,data qa,8020,8020,77459,"$45,500-$55,999",4,Never married,Associate's degree (2 years of college),Associate's degree (2 years of college),"$42,500-$80,000",Married,0,,,
106,11890173,3,47,Yes,Female,Female,0,0,0,0,0,1,Legal Assistant,97236,97218,97042,"$45,500-$55,999",4,Married,Highschool degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
107,11890174,10,31,Yes,Male,Male,0,0,0,0,0,1,Retail/Support Manager,62401,62443,62401,"$25,001-$40,499",4,Divorced,Highschool degree,Some college,"$22,500-$42,999",Single,1,,,
108,11890175,6,28,Yes,Female,Female,0,0,0,0,0,1,CPR Instructor,98006,98006,10033,"More than $78,000",4,__other,Master's degree,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,Married but separated,,
109,11890177,7,55,Yes,Female,Female,0,0,0,0,0,1,self employed,46613,89119,72015,"$25,001-$40,499",2,Divorced,Highschool degree,Highschool degree,"$42,500-$80,000",Married,3,,,
111,11890180,2,73,Yes,Male,Male,0,0,0,0,0,1,drug and alcohol screener,75051,38111,38122,"Less than $25,000",5,Divorced,Highschool degree,Some college,"$42,500-$80,000",Divorced,2,,,
112,11890182,10,32,Yes,Male,Male,0,0,0,0,0,1,Researcher,43812,43812,43812,"Less than $25,000",5,Divorced,Some highschool,Associate's degree (2 years of college),"$12,501-$22,499",Single,0,,,
113,11890183,1,53,Yes,Female,Female,0,0,0,0,0,1,Artist,60047,60047,60659,"$56,000-$78,000",4,Divorced,Highschool degree,Bachelor's degree (4 years of college),"$12,501-$22,499",Divorced,0,,,
114,11890185,2,57,Yes,Male,Male,0,0,0,0,0,1,General Manager,19475,19475,19805,"More than $78,000",6,Married,Master's degree,Doctoral degree,"More than $80,000",Divorced,0,,,
115,11890189,6,66,Yes,Male,Male,0,0,0,0,0,1,Worker,60643,60643,86413,"$25,001-$40,499",10,__other,Highschool degree,Some college,"$22,500-$42,999",Divorced,3,deceased,,
117,11890191,9,59,Yes,Male,Male,0,0,0,0,0,1,it director,42431,46507,46535,"$25,001-$40,499",8,Married,Highschool degree,Highschool degree,"$42,500-$80,000",Married,3,,,
118,11890192,1,43,Yes,Male,Male,0,0,0,0,0,1,E sales Supervisor,44134,44134,92407,"$56,000-$78,000",3,Married,Bachelor's degree (4 years of college),Associate's degree (2 years of college),"$42,500-$80,000",Single,0,,,
119,11890193,9,23,Yes,Male,Male,0,0,0,0,0,1,Supervisor,65802,65725,65725,"Less than $25,000",4,Married,No highschool,Some college,"$12,501-$22,499",Single,0,,,
120,11890194,10,39,Yes,Female,Female,0,0,0,0,0,1,unemployed,44129,44056,75002,Don't know,4,Divorced and remarried (one),Associate's degree (2 years of college),Master's degree,"Less than $12,500",Married,0,,,
121,11890196,1,38,Yes,Male,Male,0,0,0,0,0,1,Title Assistant,92626,92626,92284,"Less than $25,000",3,Divorced,Highschool degree,Some college,"$42,500-$80,000",Married,0,,,
122,11890197,6,52,Yes,Female,Female,0,0,0,0,0,1,Office assistant,90703,90703,90703,"$56,000-$78,000",4,__other,Bachelor's degree (4 years of college),Some college,"More than $80,000",Married,4,they have both passed away,,
123,11890198,5,25,Yes,Male,Male,0,0,0,0,0,1,Analyst,33132,33132,33132,"$45,500-$55,999",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
124,11890200,2,59,Yes,Female,Female,0,0,0,0,0,1,sales,48009,48009,48076,"$25,001-$40,499",4,__other,Highschool degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,Both deceased,,
125,11890201,6,25,Yes,Female,Female,0,0,0,0,0,1,Student,1020,29485,29209,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
127,11890204,3,54,Yes,Female,Female,0,0,0,0,0,1,Civil Servant,-1,94115,95819,"$56,000-$78,000",5,Married,Doctoral degree,Bachelor's degree (4 years of college),"More than $80,000",Married,0,,,
128,11890205,8,28,Yes,Female,Female,0,0,0,0,0,1,Pharmacist,53715,53901,53901,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Doctoral degree,"More than $80,000",Single,0,,,
130,11890209,4,40,Yes,Male,Male,0,0,0,0,0,1,mri technologist,94088,85234,85142,"More than $78,000",8,Married,Master's degree,Bachelor's degree (4 years of college),"More than $80,000",Married,3,,,
131,11890210,10,33,Yes,Female,Female,0,0,0,0,0,1,Computer Technician,78745,78745,73632,"$45,500-$55,999",3,__other,Doctoral degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,They are both deceased,,
132,11890211,11,34,Yes,Male,Male,0,0,0,0,0,1,Billing Analyst,47714,47714,47630,"$45,500-$55,999",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,3,,,
133,11890214,0,24,Yes,Male,Male,0,0,0,0,0,1,New York,10001,10001,10001,"$56,000-$78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
134,11890215,8,41,Yes,Female,Female,0,0,0,0,0,1,medical receptionist,67217,67217,67226,"$45,500-$55,999",3,Divorced and remarried (one),Some college,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
135,11890216,2,50,Yes,Female,Female,0,0,0,0,0,1,case manager,62864,62864,62220,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,2,,,
136,11890219,0,38,Yes,Female,Female,0,0,0,0,0,1,Administrator,36784,36784,36784,"$45,500-$55,999",4,Married,Highschool degree,Master's degree,"More than $80,000",Married,2,,,
137,11890220,1,47,Yes,Male,Male,0,0,0,0,0,1,Software Developer,46835,45241,45069,Don't know,4,Married,Doctoral degree,Bachelor's degree (4 years of college),"More than $80,000",Married,3,,,
138,11890221,8,30,Yes,Male,Male,0,0,0,0,0,1,Unemployed,13324,13324,13324,"$56,000-$78,000",6,Never married,Some college,Highschool degree,"Less than $12,500",Single,0,,,
139,11890223,11,55,Yes,Male,Male,0,0,0,0,0,1,Data Analyst,3800,6812,29579,"$25,001-$40,499",4,Divorced and remarried (one),Highschool degree,Some college,"$22,500-$42,999",Married,2,,,
140,11890224,5,39,Yes,Female,Female,0,0,0,0,0,1,Director of training,33073,33073,33073,"More than $78,000",3,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,0,,,
141,11890226,0,54,Yes,Male,Male,0,0,0,0,0,1,Retired,95616,95616,95833,"$56,000-$78,000",7,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,0,,,
142,11890227,11,42,Yes,Male,Male,0,0,0,0,0,1,gig worker,42025,42025,42071,"Less than $25,000",10,Divorced and remarried (both),Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$12,501-$22,499",Single,0,,,
143,11890228,4,41,Yes,Female,Female,0,0,0,0,0,1,nonprofit manager,17331,17350,15220,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Master's degree,"$42,500-$80,000",Divorced,0,,,
144,11890229,0,31,Yes,Male,Male,0,0,0,0,0,1,Software Developer,89014,89014,89014,"$25,001-$40,499",4,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
146,11890233,0,57,Yes,Male,Male,0,0,0,0,0,1,sales,77339,77339,77339,Don't know,5,Divorced,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Widowed,1,,,
147,11890237,9,28,Yes,Male,Male,0,0,0,0,0,1,Online Reseller,1854,1854,3857,"More than $78,000",6,Divorced,Highschool degree,Highschool degree,"$12,501-$22,499",Married,1,,,
