,ParticipantID,DoB_month,DoB_year,5yr_US,SexAssigned,Gender,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or other Pacific Islander,White,Occupation,zipBorn,zip10,zipNow,IncBracket_growingUp,familySize_growingUp,parentsMarital,parentsEdu,partEdu,partIncome,partMarital,partNumChildren,parentsMarital_other,parentsEdu_other,partEdu_other
207,11890339,3,24,Yes,Male,Male,0,0,0,0,0,1,Administration clerk,55421,55421,55421,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
208,11890342,11,34,Yes,Male,Male,0,0,1,0,0,0,Unemployed,94016,30058,30058,"$56,000-$78,000",3,Divorced,Bachelor's degree (4 years of college),Associate's degree (2 years of college),"$12,501-$22,499",Single,0,,,
209,11890346,1,47,Yes,Female,Female,0,0,0,0,0,1,team manager,39115,75093,75093,"More than $78,000",6,Divorced and remarried (both),Bachelor's degree (4 years of college),Master's degree,"More than $80,000",Divorced,2,,,
210,11890351,4,51,Yes,Female,Female,0,0,0,0,0,1,Arist,84401,84401,84067,"$25,001-$40,499",4,Divorced and remarried (one),Some college,Some college,"$22,500-$42,999",Divorced,2,,,
211,11890354,3,23,Yes,Male,Male,0,0,1,0,0,0,tranport manager,10188,10188,10188,"$56,000-$78,000",5,Married,Doctoral degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
214,11890361,4,25,Yes,Male,Male,0,0,0,0,0,1,consultant,10001,10005,10003,"$25,001-$40,499",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,0,,,
215,11890363,11,31,Yes,Female,Female,0,0,1,0,0,0,Information system,10013,10013,10013,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,2,,,
216,11890365,5,40,Yes,Female,Female,0,0,1,0,0,0,donor manager,24541,24541,24541,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Divorced,2,,,
217,11890366,0,50,Yes,Female,Female,0,0,1,0,0,0,Patient Observer,60628,60628,38671,"$45,500-$55,999",7,Married,Master's degree,Bachelor's degree (4 years of college),"More than $80,000",Married,7,,,
218,11890367,5,37,Yes,Male,Male,0,0,1,0,0,0,Housekeeper,53704,53704,53704,"$25,001-$40,499",4,Never married,Highschool degree,Highschool degree,"$22,500-$42,999",Single,0,,,
219,11890368,7,24,Yes,Male,Male,0,0,1,0,0,0,Computer science,60601,60601,60601,"$45,500-$55,999",6,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"Less than $12,500",Single,1,,,
220,11890369,3,33,Yes,Male,Male,0,0,0,0,0,1,Software Engineer,78596,78596,78596,"$45,500-$55,999",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
221,11890371,4,33,Yes,Male,Male,0,0,0,0,0,1,QA,46011,40324,40475,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Some college,"More than $80,000",Married,2,,,
222,11890374,2,22,Yes,Male,Male,0,0,1,0,0,0,Agriculture,90001,90001,90001,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
223,11890376,10,34,Yes,Female,Female,0,0,1,0,0,0,sales,1902,33614,75232,"$45,500-$55,999",3,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
224,11890378,1,26,Yes,Male,Male,0,0,1,0,0,0,IT Analyst,10013,10013,10013,"$56,000-$78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,2,,,
226,11890380,0,26,Yes,Male,Male,0,0,1,0,0,0,Manager,32087,32087,32087,"More than $78,000",3,Married,Bachelor's degree (4 years of college),Master's degree,"$42,500-$80,000",Single,0,,,
227,11890382,6,35,Yes,Male,Male,0,0,1,0,0,0,IT manager,10017,10017,10017,"$56,000-$78,000",7,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,2,,,
228,11890385,2,33,Yes,Female,Female,0,0,0,0,0,1,analyst,80120,80120,80129,"$56,000-$78,000",5,Divorced,Associate's degree (2 years of college),Doctoral degree,"More than $80,000",Married,0,,,
229,11890389,6,39,Yes,Male,Male,0,0,1,0,0,0,Financial economist,23234,23234,23234,"$45,500-$55,999",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
230,11890390,6,28,Yes,Female,Female,0,0,1,0,0,0,IT specialist,92374,92374,92374,"$45,500-$55,999",6,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,1,,,
233,11890394,2,31,Yes,Female,Female,0,0,1,0,0,0,Paralegal,27604,27513,20002,"$25,001-$40,499",4,Married,Highschool degree,Bachelor's degree (4 years of college),"More than $80,000",Single,1,,,
235,11890396,11,28,Yes,Male,Male,0,0,1,0,0,0,Business Analyst,11256,11255,11256,"$56,000-$78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,1,,,
236,11890398,9,43,Yes,Female,Female,0,0,1,0,0,0,Preschool Teacher,43203,43205,31792,"$25,001-$40,499",3,Divorced and remarried (one),Master's degree,Master's degree,"$22,500-$42,999",Married,6,,,
237,11890400,1,24,Yes,Male,Male,0,0,1,0,0,0,manufacturing industry,30002,30002,30002,"More than $78,000",3,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,1,,,
238,11890402,1,29,Yes,Female,Female,0,0,1,0,0,0,Sales associate,90805,90805,90805,"$56,000-$78,000",4,Never married,Some college,Some college,"$42,500-$80,000",Single,0,,,
239,11890406,8,23,Yes,Female,Female,0,0,0,0,0,1,Lab Supervisor,60131,6231,23452,"$45,500-$55,999",3,Married,Master's degree,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
240,11890407,7,37,Yes,Female,Female,0,0,1,0,0,0,Distributer,53216,53218,78219,"$25,001-$40,499",7,Divorced and remarried (one),Highschool degree,Highschool degree,"$12,501-$22,499",Single,2,,,
241,11890409,7,41,Yes,Male,Male,0,0,1,0,0,0,biomedical tech,74055,74055,74055,Don't know,5,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
243,11890415,8,48,Yes,Female,Female,0,0,1,0,0,0,Courier,11202,11202,19134,"$45,500-$55,999",2,Divorced,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
244,11890416,7,31,Yes,Female,Female,0,0,0,0,0,1,Biologist,34652,34652,29445,"$45,500-$55,999",6,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,0,,,
245,11890417,3,24,Yes,Female,Female,0,0,0,0,0,1,computer programmer ,90014,90014,30303,"More than $78,000",6,Married,Master's degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
246,11890418,9,53,Yes,Male,Male,0,0,1,0,0,0,Project Manager,11203,11203,8648,"$56,000-$78,000",4,Widowed,Some college,Master's degree,"More than $80,000",Married,1,,,
247,11890422,6,38,Yes,Female,Female,0,0,1,0,0,0,Customer service Rep,60653,60653,60607,"Less than $25,000",5,Divorced,Highschool degree,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
248,11890423,4,22,Yes,Female,Female,0,0,0,0,0,1,Clerk,95131,95131,95131,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
249,11890427,2,40,Yes,Female,Female,0,0,1,0,0,0,microtasker,22657,22601,55046,"$25,001-$40,499",4,Divorced and remarried (one),Associate's degree (2 years of college),Some college,"Less than $12,500",Single,0,,,
250,11890428,2,37,Yes,Male,Male,0,0,1,0,0,0,substittute teacher,42701,42701,42701,"Less than $25,000",4,Never married,Bachelor's degree (4 years of college),Master's degree,"$12,501-$22,499",Single,1,,,
251,11890430,4,34,Yes,Male,Male,0,0,1,0,0,0,Financier,60644,60644,77701,"$45,500-$55,999",6,Married,Some college,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
252,11890432,3,27,Yes,Male,Male,0,0,1,0,0,0,Manufacturing Manager,11211,11211,11211,"More than $78,000",4,Married,Doctoral degree,Doctoral degree,"More than $80,000",Married,2,,,
253,11890433,6,35,Yes,Male,Male,0,0,1,0,0,0,DevOps Enginner,10095,10095,10095,"More than $78,000",5,Married,Doctoral degree,Doctoral degree,"More than $80,000",Married,2,,,
254,11890437,5,29,Yes,Male,Male,0,0,1,0,0,0,project management,32621,32621,32621,"$25,001-$40,499",5,Widowed,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,1,,,
255,11890440,5,30,Yes,Male,Male,0,0,1,0,0,0,engineer ,10013,10013,90014,"More than $78,000",7,Widowed,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,0,,,
256,11890453,9,41,Yes,Female,Female,0,0,1,0,0,0,Guest Sevices Rep,11231,11231,11225,"$25,001-$40,499",4,Never married,Highschool degree,Some college,"$42,500-$80,000",Single,1,,,
257,11890454,2,34,Yes,Female,Female,0,0,0,0,0,1,INSTRUCTIONAL AIDE,45885,45787,16424,Don't know,6,Divorced,Associate's degree (2 years of college),Associate's degree (2 years of college),"Less than $12,500",Married,3,,,
258,11890457,8,57,Yes,Male,Male,0,0,1,0,0,0,Freelance proofreader,60615,60615,60640,"$45,500-$55,999",10,Never married,Some college,Some college,"Less than $12,500",Single,0,,,
259,11890460,0,30,Yes,Male,Male,0,0,1,0,0,0,product manager,20101,20101,33093,"$45,500-$55,999",6,Divorced,Doctoral degree,Doctoral degree,"$42,500-$80,000",Married,2,,,
260,11890468,11,48,Yes,Male,Male,0,0,1,0,0,0,Manager,10005,10005,75001,"More than $78,000",5,Married,Doctoral degree,Doctoral degree,"More than $80,000",Married,4,,,
261,11890470,6,32,Yes,Male,Male,0,0,1,0,0,0,Manager,30047,30047,30047,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,1,,,
263,11890473,5,37,Yes,Female,Female,0,0,1,0,0,0,principal,75223,75223,75126,"More than $78,000",5,Divorced and remarried (one),Associate's degree (2 years of college),Master's degree,"More than $80,000",Married,2,,,
264,11890475,6,26,Yes,Female,Female,0,0,1,0,0,0,Behavior Technician ,73506,73501,73507,"$25,001-$40,499",6,Married,Some college,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
265,11890477,3,60,Yes,Female,Female,0,0,1,0,0,0,CEO,0,11224,33905,"More than $78,000",11,Divorced,Bachelor's degree (4 years of college),Doctoral degree,"More than $80,000",Married,2,,,
266,11890478,4,26,Yes,Female,Female,0,0,1,0,0,0,Paralegal,36116,36116,36117,"More than $78,000",5,Married,Master's degree,Bachelor's degree (4 years of college),"More than $80,000",Married,2,,,
268,11890482,9,39,Yes,Female,Female,0,0,1,0,0,0,Accountant,10003,10003,10045,"$56,000-$78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
269,11890484,5,39,Yes,Male,Male,0,0,0,0,0,1,Teacher,40509,40509,40403,"$56,000-$78,000",3,Divorced,Master's degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
270,11890490,6,39,Yes,Female,Female,0,0,1,0,0,0,Collection Specialist,75223,75223,75235,"$56,000-$78,000",5,Never married,Highschool degree,Associate's degree (2 years of college),"$42,500-$80,000",Single,3,,,
273,11890495,6,27,Yes,Male,Male,0,0,1,0,0,0,security,19008,19008,19008,"$25,001-$40,499",7,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,2,,,
278,11890501,5,27,Yes,Female,Female,0,0,0,0,0,1,Gig worker,84062,84062,84062,"$25,001-$40,499",5,Married,Bachelor's degree (4 years of college),Some college,"$12,501-$22,499",Single,0,,,
279,11890502,4,52,Yes,Female,Female,0,0,1,0,0,0,HR Manager,11369,11369,23454,"$25,001-$40,499",5,Widowed,Highschool degree,Master's degree,"More than $80,000",Single,1,,,
280,11890510,9,34,Yes,Male,Male,0,0,1,0,0,0,Self-Employed,0,0,30238,"$45,500-$55,999",3,Married,Highschool degree,Doctoral degree,"$42,500-$80,000",Single,0,,,
281,11890511,11,44,Yes,Female,Female,0,0,1,0,0,0,Office manager,2125,2119,2125,"Less than $25,000",3,Never married,Some college,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,3,,,
283,11890518,9,24,Yes,Male,Male,0,0,1,0,0,0,sales,10002,10002,30002,"$56,000-$78,000",3,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
285,11890520,9,25,Yes,Female,Female,0,0,0,0,0,1,software developer,60097,60097,60097,"$25,001-$40,499",3,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,1,,,
286,11890522,8,55,Yes,Male,Male,0,0,1,0,0,0,Gig Contractor,60616,60649,64082,"$56,000-$78,000",6,Widowed,Highschool degree,Some college,"$42,500-$80,000",Married,2,,,
287,11890523,9,29,Yes,Female,Female,0,0,0,0,0,1,Software Engineer,77901,77901,77901,"$45,500-$55,999",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,4,,,
288,11890524,2,43,Yes,Male,Male,0,0,1,1,0,0,online english tutor,33176,33176,33027,"More than $78,000",5,Never married,Master's degree,Associate's degree (2 years of college),"More than $80,000",Single,1,,,
289,11890529,1,32,Yes,Male,Male,0,0,1,0,0,0,Software Engineer,60601,60601,60603,"More than $78,000",5,Married,Doctoral degree,Doctoral degree,"More than $80,000",Married,2,,,
290,11890536,7,27,Yes,Female,Female,0,0,1,0,0,0,0,0,0,34655,"Less than $25,000",4,Never married,Highschool degree,Highschool degree,"Less than $12,500",Single,0,,,
291,11890539,7,37,Yes,Female,Female,0,0,1,0,0,0,Unemployed,77040,77040,77407,"$45,500-$55,999",4,Married,Highschool degree,Bachelor's degree (4 years of college),"Less than $12,500",Single,0,,,
292,11890540,1,47,Yes,Female,Female,0,0,0,0,0,1,Unemployed,53224,53224,40502,Don't know,2,Divorced,Bachelor's degree (4 years of college),Some college,"Less than $12,500",Single,1,,,
293,11890541,0,25,Yes,Female,Female,0,0,1,0,0,0,Office Manager,30033,78613,11218,"$25,001-$40,499",6,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
294,11890545,0,43,Yes,Female,Female,0,0,0,0,0,1,AI trainer,12010,12134,49221,"$25,001-$40,499",4,Married,Highschool degree,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
295,11890548,1,55,Yes,Male,Male,0,0,1,0,0,0,Educator,29203,29203,29209,"$45,500-$55,999",7,Married,Some highschool,Master's degree,"$42,500-$80,000",Married,4,,,
296,11890549,5,50,Yes,Male,Male,0,0,1,0,0,0,Hotel Manager,89506,89506,89031,"Less than $25,000",6,Married,Some highschool,Some college,"More than $80,000",Married,3,,,
297,11890552,0,28,Yes,Male,Male,0,0,1,0,0,0,business,43229,43229,43229,"$56,000-$78,000",8,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
299,11890557,7,35,Yes,Male,Male,0,0,0,0,0,1,Clinical REsearch,61114,61114,60622,"More than $78,000",4,Never married,Master's degree,Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
300,11890558,2,36,Yes,Male,Male,0,0,0,0,0,1,Engineer,29588,29588,29588,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,1,,,
301,11890565,3,25,Yes,Male,Male,0,0,1,0,0,0,Unemployed,48911,48911,48911,"Less than $25,000",3,Never married,Associate's degree (2 years of college),Associate's degree (2 years of college),"Less than $12,500",Single,0,,,
302,11890567,9,24,Yes,Male,Male,0,0,1,0,0,0,Ai training,99669,85226,85226,"$45,500-$55,999",4,Married,Doctoral degree,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
303,11890573,9,39,Yes,Male,Male,0,0,1,0,0,0,photographer,70115,70115,77090,"$25,001-$40,499",4,Divorced,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,0,,,
304,11890575,3,24,Yes,Male,Male,0,0,1,1,0,0,educator,78211,78211,78242,"$56,000-$78,000",8,Never married,Some college,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
305,11890576,9,38,Yes,Female,Female,0,0,0,0,0,1,sales,66203,46151,80003,"More than $78,000",4,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,0,,,
307,11890578,5,42,Yes,Female,Female,0,0,1,0,0,0,customer support Rep,77642,77642,77642,"More than $78,000",5,Divorced,Highschool degree,Highschool degree,"$22,500-$42,999",Married,1,,,
308,11890579,2,33,Yes,Male,Male,0,0,0,0,0,1,Data Analyst,19116,19116,19104,"$45,500-$55,999",4,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
309,11890581,7,30,Yes,Male,Male,0,0,0,0,0,1,Student,92411,92881,92881,"$25,001-$40,499",3,Married,Some college,Highschool degree,"$22,500-$42,999",Single,0,,,
310,11890586,2,34,Yes,Male,Male,0,0,0,0,0,1,Software Engineer,31520,31520,31520,"Less than $25,000",4,Married,Some college,Bachelor's degree (4 years of college),"$22,500-$42,999",Married,0,,,
311,11890587,10,27,Yes,Male,Male,0,0,0,0,0,1,IT,72653,72653,72653,"$25,001-$40,499",4,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
312,11890591,7,20,Yes,Female,Female,0,0,1,0,0,0,Babysitter,75043,75043,75043,Don't know,10,Married,Highschool degree,Highschool degree,"Less than $12,500",Single,0,,,
313,11890594,6,22,Yes,Female,Female,0,0,1,0,0,0,Pre-school Teacher,39046,39046,39157,Don't know,5,Never married,Bachelor's degree (4 years of college),Associate's degree (2 years of college),"$22,500-$42,999",Single,0,,,
314,11890598,7,29,Yes,Male,Male,0,0,0,0,0,1,information technology,10977,10977,10977,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
315,11890601,7,28,Yes,Male,Male,0,0,0,0,0,1,Software Engineer,37370,37370,37370,"$45,500-$55,999",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
317,11890607,10,38,Yes,Female,Female,0,0,1,0,0,0,Calls rep,52402,52402,52404,"$25,001-$40,499",6,Never married,Highschool degree,Highschool degree,"$22,500-$42,999",Single,2,,,
318,11890609,0,21,Yes,Female,Female,0,0,1,0,0,0,"Agriculture, food and natural resources",33156,33156,33156,"$56,000-$78,000",6,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
319,11890612,10,57,Yes,Female,Female,0,0,0,0,0,1,Administrative Clerk,49660,49660,49405,"$25,001-$40,499",4,Married,Highschool degree,Associate's degree (2 years of college),"More than $80,000",Married,2,,,
320,11890617,8,31,Yes,Female,Female,0,0,0,0,0,1,Software Developer,90247,90247,90247,"$25,001-$40,499",6,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
321,11890618,7,26,Yes,Male,Male,0,0,1,1,0,0,Research Associate,33157,33157,50010,"$25,001-$40,499",3,Divorced,Bachelor's degree (4 years of college),Master's degree,"$22,500-$42,999",Single,0,,,
322,11890619,5,39,Yes,Male,Male,0,0,1,0,0,0,Human resources representative,27703,27703,27703,"$25,001-$40,499",6,Married,Some highschool,Bachelor's degree (4 years of college),"Less than $12,500",Married,2,,,
324,11890635,0,38,Yes,Female,Female,0,0,1,0,0,0,ESL Teacher,11201,11411,8691,"$45,500-$55,999",5,Divorced and remarried (one),Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
325,11890641,11,23,Yes,Female,Female,0,0,1,0,0,0,,92134,21060,21060,"More than $78,000",6,Divorced,Master's degree,Bachelor's degree (4 years of college),"Less than $12,500",Single,0,,,
327,11890647,3,23,Yes,Female,Female,0,0,0,0,0,1,stock associate,19134,19134,19135,"$25,001-$40,499",6,Widowed,Highschool degree,Some college,"$22,500-$42,999",Single,1,,,
329,11890652,5,25,Yes,Male,Male,0,0,1,0,0,0,web developer,77002,77002,77002,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,1,,,
330,11890655,6,43,No,Male,Male,0,0,1,0,0,0,sales manager,38126,38126,38106,"$56,000-$78,000",8,Married,Highschool degree,Associate's degree (2 years of college),"$42,500-$80,000",Married,2,,,
331,11890656,3,39,Yes,Male,Male,0,0,0,0,0,1,software engineer,10467,10467,10467,"$25,001-$40,499",6,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
332,11890659,11,44,Yes,Male,Male,0,0,0,0,0,1,Office Support,48640,48618,48618,"$45,500-$55,999",3,Married,Master's degree,Highschool degree,"$12,501-$22,499",Single,0,,,
334,11890668,3,24,Yes,Female,Female,0,0,1,0,0,0,contract worker,60153,60153,60153,"$56,000-$78,000",5,Married,Associate's degree (2 years of college),Some college,"Less than $12,500",Single,0,,,
335,11890669,7,23,Yes,Male,Male,0,0,1,0,0,0,Engineer,10001,10003,10005,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
336,11890670,2,36,Yes,Female,Female,0,0,1,0,0,0,Unemployed,36521,36521,36521,"$25,001-$40,499",9,Never married,Highschool degree,Highschool degree,"$12,501-$22,499",Single,0,,,
338,11890673,5,33,Yes,Male,Male,0,0,0,0,0,1,Billing machine operator,46254,46254,46254,"$25,001-$40,499",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
339,11890674,3,60,Yes,Male,Male,0,0,0,0,0,1,Music production,21133,21133,21214,"$25,001-$40,499",4,Widowed,Some college,Some college,"$42,500-$80,000",Married,0,,,
340,11890675,0,42,Yes,Male,Male,0,0,0,0,0,1,Contract grant writer,60115,60115,3770,"More than $78,000",3,Married,Doctoral degree,Doctoral degree,"More than $80,000",Married,0,,,
341,11890678,6,63,Yes,Female,Female,0,0,0,0,0,1,Healthcare Manager,22302,22302,32751,"More than $78,000",5,Divorced,Master's degree,Associate's degree (2 years of college),"$22,500-$42,999",Divorced,1,,,
342,11890685,0,39,Yes,Female,Female,0,0,1,1,0,0,AI evaluator,74106,74127,74106,"$25,001-$40,499",9,Divorced,Some college,Highschool degree,"$22,500-$42,999",Married,3,,,
343,11890687,3,64,Yes,Female,Female,0,0,0,0,0,1,receptionist,28208,28208,28208,"$25,001-$40,499",9,__other,Some highschool,Highschool degree,"Less than $12,500",Single,1,deceased,,
344,11890690,3,39,Yes,Male,Male,0,0,0,0,0,1,Assistant Construction Manager,92801,92801,92602,"More than $78,000",5,Married,Highschool degree,Some college,"$42,500-$80,000",Divorced,3,,,
345,11890691,0,35,Yes,Male,Male,0,0,0,0,0,1,Controller,18702,18702,18705,"$56,000-$78,000",6,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
346,11890694,1,30,Yes,Male,Male,0,0,1,0,0,0,Financial associates,10118,10118,10118,"More than $78,000",7,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,1,,,
347,11890696,3,54,Yes,Female,Female,0,0,0,0,0,1,Graphic Design,36116,36116,92879,"$56,000-$78,000",5,Divorced,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,5,,,
348,11890697,5,28,Yes,Male,Male,0,0,1,0,0,0,content moderator,30060,30060,30060,Don't know,3,Divorced,Some college,Bachelor's degree (4 years of college),"Less than $12,500",Single,0,,,
349,11890698,8,29,Yes,Male,Male,0,0,0,0,0,1,Software Developer,89436,89436,89436,"$45,500-$55,999",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
350,11890699,1,42,Yes,Female,Female,0,0,0,0,0,1,Cashier,43906,43939,43935,"Less than $25,000",6,Married,Highschool degree,No highschool,"$22,500-$42,999",Married,0,,,
351,11890700,1,28,Yes,Male,Male,0,0,1,0,0,0,Financial Analyst,80252,80252,77002,"$45,500-$55,999",6,Married,Bachelor's degree (4 years of college),Master's degree,"$42,500-$80,000",Married,2,,,
352,11890701,4,39,Yes,Female,Female,0,0,0,0,0,1,Sales,15009,45690,28150,"$25,001-$40,499",7,Divorced and remarried (both),Associate's degree (2 years of college),Associate's degree (2 years of college),"$22,500-$42,999",Divorced,0,,,
353,11890705,0,31,Yes,Male,Male,0,0,0,0,0,1,customer service rep,73071,73071,73071,"Less than $25,000",5,Divorced,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$12,501-$22,499",Married,2,,,
355,11890707,0,25,Yes,Female,Female,0,0,0,0,0,1,Speech Language Pathologist,53566,53504,53705,"$56,000-$78,000",5,Widowed,Master's degree,Master's degree,"$42,500-$80,000",Single,0,,,
356,11890709,11,44,Yes,Female,Female,0,0,1,0,0,0,Homemaker,35020,35020,36066,Don't know,3,Divorced,Some college,Associate's degree (2 years of college),"$42,500-$80,000",Married,0,,,
357,11890720,5,37,Yes,Male,Male,0,0,1,0,0,0,Sales manager,60617,60617,60617,"More than $78,000",4,Married,Master's degree,Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
358,11890724,1,26,Yes,Male,Male,0,0,1,0,0,0,Physiology Research,50613,50613,52240,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
359,11890730,9,40,Yes,Male,Male,0,0,1,0,0,0,Unemployed,90120,0,20878,"Less than $25,000",4,Widowed,Highschool degree,Some college,"Less than $12,500",Single,0,,,
360,11890731,2,23,Yes,Female,Female,0,0,1,1,0,0,Research Assistant,11434,11434,11434,"$56,000-$78,000",6,Married,Master's degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
362,11890734,7,39,Yes,Male,Male,0,0,0,0,0,1,Educational consultant,47670,47670,47670,"$45,500-$55,999",4,Married,Bachelor's degree (4 years of college),Doctoral degree,"$42,500-$80,000",Single,0,,,
363,11890740,0,38,Yes,Female,Female,0,0,1,0,0,0,Unemployed,77092,32246,32218,"Less than $25,000",4,Never married,Highschool degree,Highschool degree,"$12,501-$22,499",Single,1,,,
364,11890741,11,39,Yes,Female,Female,0,0,1,0,0,0,Tax assessor,20736,20736,22553,"$56,000-$78,000",3,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,0,,,
365,11890744,1,18,Yes,Male,Male,0,0,1,0,0,0,employe,30001,30001,30001,"More than $78,000",3,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
366,11890745,2,29,Yes,Female,Female,0,0,1,0,0,0,Customer support specialist,49507,49507,49505,"$25,001-$40,499",5,Divorced,Some college,Some college,"$22,500-$42,999",Single,1,,,
367,11890749,7,61,Yes,Female,Female,0,0,0,0,0,1,Retired,48024,48024,49544,"More than $78,000",5,Divorced,Some college,Some college,"$22,500-$42,999",Divorced,3,,,
