,0
0,0.7204968944099379
1,0.5279503105590062
2,0.7412008281573499
3,0.7080745341614907
4,0.6314699792960663
5,0.650103519668737
6,0.6086956521739131
7,0.5714285714285714
8,0.639751552795031
9,0.6169772256728778
10,0.577639751552795
11,0.6418219461697723
12,0.6045548654244306
13,0.6086956521739131
14,0.6066252587991718
15,0.639751552795031
16,0.5962732919254659
17,0.7184265010351967
18,0.5859213250517599
19,0.650103519668737
20,0.6583850931677019
21,0.5921325051759835
22,0.6252587991718427
23,0.5610766045548654
24,0.650103519668737
25,0.6956521739130435
26,0.6542443064182195
27,0.6687370600414079
28,0.6728778467908902
29,0.7515527950310559
30,0.587991718426501
31,0.6915113871635611
32,0.5590062111801242
33,0.5921325051759835
34,0.5590062111801242
35,0.6376811594202898
36,0.6666666666666666
37,0.6542443064182195
38,0.6790890269151139
39,0.6314699792960663
