,0,1,2,3,4,5,6
0,0.9309,0.0012,0.108,0.2612,0.0006,0.0387,0.0001
1,0.9472,0.2615,0.5222,0.2354,0.5475,0.0068,0.2349
2,0.0001,0.2815,0.0021,0.0901,0.5201,0.1545,0.0001
3,0.9873,0.143,0.0232,0.3246,0.0119,0.2812,0.0001
4,0.9771,0.3726,0.0211,0.2129,0.0097,0.0848,0.008
5,0.0001,0.1666,0.0001,0.0717,0.0322,0.1623,0.0353
6,0.0005,0.2359,0.0218,0.4756,0.0004,0.4969,0.008
7,0.5396,0.0407,0.2147,0.2193,0.0094,0.2625,0.1945
8,0.332,0.0006,0.0129,0.0503,0.0001,0.2152,0.1834
9,0.1604,0.2566,0.0031,0.015,0.0438,0.108,0.1876
10,0.004,0.0013,0.4882,0.2004,0.0125,0.0913,0.4126
11,0.062,0.0001,0.072,0.4448,0.0001,0.0025,0.1311
12,0.8315,0.0001,0.4185,0.0665,0.1336,0.3549,0.1646
13,0.0002,0.0034,0.057,0.4522,0.1403,0.0398,0.0105
14,0.0001,0.0054,0.0631,0.238,0.2829,0.0098,0.3491
15,0.0001,0.2204,0.3978,0.1864,0.0872,0.0344,0.2096
16,0.0001,0.0663,0.0097,0.2516,0.0552,0.4344,0.1861
17,0.0001,0.0027,0.0669,0.02,0.032,0.0002,0.3721
18,0.0001,0.0724,0.3867,0.0617,0.1904,0.4495,0.2113
19,0.0001,0.4806,0.0359,0.0136,0.0166,0.1356,0.0001
20,0.0007,0.4089,0.0296,0.0094,0.3904,0.0376,0.0001
21,0.0186,0.0662,0.2087,0.0032,0.2044,0.0086,0.3828
22,0.0006,0.0091,0.0043,0.3643,0.0153,0.0135,0.0182
23,0.9754,0.1253,0.069,0.1239,0.6498,0.0064,0.0321
24,0.0001,0.0032,0.3069,0.0498,0.0448,0.0698,0.0002
25,0.8708,0.2659,0.0084,0.3401,0.1531,0.1039,0.0001
26,0.5583,0.0783,0.2092,0.0933,0.0001,0.0171,0.0001
27,0.0781,0.0908,0.1677,0.3694,0.0001,0.0095,0.0001
28,0.4914,0.0228,0.463,0.3912,0.0001,0.0127,0.0001
29,0.8952,0.014,0.5174,0.3676,0.0001,0.4155,0.0001
30,0.9863,0.0799,0.4473,0.4037,0.393,0.0027,0.2644
31,0.0001,0.0894,0.0044,0.013,0.0002,0.0006,0.0476
32,0.9001,0.2804,0.3974,0.3425,0.558,0.0001,0.1528
33,0.8559,0.0906,0.1284,0.0275,0.0173,0.3653,0.2698
34,0.9268,0.0119,0.2248,0.3263,0.5767,0.0018,0.3729
35,0.0014,0.0001,0.059,0.1082,0.0802,0.002,0.0001
36,0.0148,0.0018,0.3323,0.2232,0.0128,0.0001,0.0001
37,0.6071,0.0009,0.2871,0.008,0.0001,0.0006,0.0001
38,0.0001,0.0001,0.127,0.0048,0.3685,0.0005,0.0001
39,0.0171,0.0014,0.2582,0.1179,0.0224,0.3499,0.0001
