,Metric,Obvserved,Null_Mean,Null_Std,Permutation p-val,itemID
0,accuracy,0.7204968944099379,0.5627546583850932,0.0326745528597824,9.999000099990002e-05,0
1,precision_macro,0.5988023369036027,0.5281995529212322,0.011823642497105968,9.999000099990002e-05,0
2,precision_micro,0.7204968944099379,0.5627546583850932,0.0326745528597824,9.999000099990002e-05,0
3,precision_weighted,0.8706111389985909,0.8242216677462558,0.010587450999909535,9.999000099990002e-05,0
4,recall_macro,0.7155267629566695,0.5688170475785896,0.02858271744438694,9.999000099990002e-05,0
5,recall_micro,0.7204968944099379,0.5627546583850932,0.0326745528597824,9.999000099990002e-05,0
6,recall_weighted,0.7204968944099379,0.5627546583850932,0.0326745528597824,9.999000099990002e-05,0
7,f1_macro,0.5934571572863476,0.4625749763741778,0.022195982417309704,9.999000099990002e-05,0
8,f1_micro,0.7204968944099379,0.5627546583850932,0.0326745528597824,9.999000099990002e-05,0
9,f1_weighted,0.7689602015348631,0.6411466851825035,0.028031245066892627,9.999000099990002e-05,0
10,f1_class0,0.36619718309859156,0.2313413695258635,0.020561755918201717,9.999000099990002e-05,0
11,f1_class1,0.8207171314741036,0.6938085832224922,0.030198933091144693,9.999000099990002e-05,0
12,precision_class0,0.2468354430379747,0.14487869109687168,0.013752317066411439,9.999000099990002e-05,0
13,precision_class1,0.9507692307692308,0.9115204147455929,0.010278750195319993,0.00039996000399960006,0
14,recall_class0,0.7090909090909091,0.5766672727272727,0.0536641292116223,0.0096990300969903,0
15,recall_class1,0.7219626168224299,0.5609668224299066,0.038057106767022,9.999000099990002e-05,0
16,balanced_accuracy,0.7155267629566695,0.5688170475785896,0.02858271744438694,9.999000099990002e-05,0
17,mcc,0.29185303044777716,0.08810173484266293,0.03675635427954832,9.999000099990002e-05,0
18,roc_auc,0.7536533559898045,0.5955702867459642,0.02877650649375275,9.999000099990002e-05,0
19,pr_auc,0.9507200362949024,0.9174010250051501,0.00921505942098722,0.00039996000399960006,0
20,brier,0.20180888331632035,0.24264258560204413,0.004237423891411394,1.0,0
21,log_loss,0.596454368545514,0.6780434298370965,0.0088901378558698,1.0,0
22,accuracy,0.5279503105590062,0.5519708074534161,0.02776293282540978,0.8196180381961804,1
23,precision_macro,0.5273138781248928,0.5345020829289028,0.014826528959612742,0.6843315668433156,1
24,precision_micro,0.5279503105590062,0.5519708074534161,0.02776293282540978,0.8196180381961804,1
25,precision_weighted,0.7163343110565651,0.7222109804224814,0.014084566179309229,0.6616338366163383,1
26,recall_macro,0.5439205955334988,0.5549949131513647,0.023560549374618992,0.6798320167983202,1
27,recall_micro,0.5279503105590062,0.5519708074534161,0.02776293282540978,0.8196180381961804,1
28,recall_weighted,0.5279503105590063,0.5519708074534161,0.027762932825409776,0.8009199080091991,1
29,f1_macro,0.4783028878950959,0.4944923486428679,0.021213301815772558,0.7817218278172183,1
30,f1_micro,0.5279503105590062,0.5519708074534161,0.02776293282540978,0.8196180381961804,1
31,f1_weighted,0.5772645290439641,0.5987573361582431,0.025081609809418058,0.8098190180981902,1
32,f1_class0,0.31736526946107785,0.324930096218874,0.021877142581608944,0.6322367763223677,1
33,f1_class1,0.6392405063291139,0.6640546010668618,0.028592130693440434,0.8111188881111889,1
34,precision_class0,0.21991701244813278,0.22923811831813337,0.01637335368194305,0.7125287471252875,1
35,precision_class1,0.8347107438016529,0.8397660475396722,0.013716074527900336,0.6403359664033597,1
36,recall_class0,0.5698924731182796,0.5599129032258066,0.04680153057591703,0.46265373462653736,1
37,recall_class1,0.517948717948718,0.550076923076923,0.03714090671923986,0.818018198180182,1
38,balanced_accuracy,0.5439205955334988,0.5549949131513647,0.023560549374618992,0.6798320167983202,1
39,mcc,0.06927169100216041,0.08711783537805003,0.03737546794968064,0.682931706829317,1
40,roc_auc,0.5570995312930798,0.5763153777226359,0.02363570132868796,0.7854214578542146,1
41,pr_auc,0.8413871269861951,0.8471566413464491,0.0126658361234751,0.669033096690331,1
42,brier,0.24696482187721414,0.24515832287630707,0.002837187720998522,0.30046995300469953,1
43,log_loss,0.6868822628727205,0.683313382957469,0.005842012568390384,0.31086891310868914,1
44,accuracy,0.7412008281573499,0.573113043478261,0.03636464908663734,9.999000099990002e-05,2
